Supplier ID,Location ID,Supplier Name,Address,Phone Number,Email
1,17,Rajeshwari Milk Suppliers,538-158 Patel Street,6234567890,rajeshwari@amul-supplier.com
2,16,Sandeep Milk Suppliers,98-722 Gandhi Street,6234567891,sandeep@amul-supplier.com
3,1,Deepika Milk Suppliers,130-186 Jawaharlal Street,6234567892,deepika@amul-supplier.com
4,18,Arjun Milk Suppliers,729-356 Patel Street,6234567893,arjun@amul-supplier.com
5,19,Neha Milk Suppliers,591-124 Gandhi Street,6234567894,neha@amul-supplier.com
6,6,Suresh Milk Suppliers,360-238 Ambedkar Street,6234567895,suresh@amul-supplier.com
7,8,Kavya Milk Suppliers,408-503 Ambedkar Street,6234567896,kavya@amul-supplier.com
8,12,Vivek Milk Suppliers,857-19 Ambedkar Street,6234567897,vivek@amul-supplier.com
9,9,Shreya Milk Suppliers,855-798 Gandhi Street,6234567898,shreya@amul-supplier.com
10,2,Rakesh Milk Suppliers,207-781 Gandhi Street,6234567899,rakesh@amul-supplier.com
11,13,Anjali Milk Suppliers,259-96 Patel Street,6234567900,anjali@amul-supplier.com
12,16,Rohit Milk Suppliers,811-65 Gandhi Street,6234567901,rohit@amul-supplier.com
13,7,Sonali Milk Suppliers,3-333 Gandhi Street,6234567902,sonali@amul-supplier.com
14,20,Manish Milk Suppliers,836-930 Patel Street,6234567903,manish@amul-supplier.com
15,20,Divya Milk Suppliers,947-645 Patel Street,6234567904,divya@amul-supplier.com
16,19,Sanjay Milk Suppliers,553-710 Jawaharlal Street,6234567905,sanjay@amul-supplier.com
17,12,Megha Milk Suppliers,165-275 Gandhi Street,6234567906,megha@amul-supplier.com
18,17,Sameer Milk Suppliers,943-37 Patel Street,6234567907,sameer@amul-supplier.com
19,5,Aarti Milk Suppliers,623-636 Jawaharlal Street,6234567908,aarti@amul-supplier.com
20,16,Ajay Milk Suppliers,95-254 Jawaharlal Street,6234567909,ajay@amul-supplier.com
21,7,Anuja Milk Suppliers,476-354 Gandhi Street,6234567910,anuja@amul-supplier.com
22,9,Nitin Milk Suppliers,90-559 Patel Street,6234567911,nitin@amul-supplier.com
23,13,Swati Milk Suppliers,155-552 Gandhi Street,6234567912,swati@amul-supplier.com
24,2,Vipul Milk Suppliers,143-87 Ambedkar Street,6234567913,vipul@amul-supplier.com
25,11,Radhika Milk Suppliers,334-209 Jawaharlal Street,6234567914,radhika@amul-supplier.com
26,2,Vikas Milk Suppliers,711-686 Patel Street,6234567915,vikas@amul-supplier.com
27,12,Shruti Milk Suppliers,118-158 Ambedkar Street,6234567916,shruti@amul-supplier.com
28,20,Praveen Milk Suppliers,217-292 Jawaharlal Street,6234567917,praveen@amul-supplier.com
29,15,Nisha Milk Suppliers,566-174 Patel Street,6234567918,nisha@amul-supplier.com
30,17,Prashant Milk Suppliers,750-694 Jawaharlal Street,6234567919,prashant@amul-supplier.com
31,17,Preeti Milk Suppliers,726-647 Jawaharlal Street,6234567920,preeti@amul-supplier.com
32,4,Anil Milk Suppliers,871-933 Patel Street,6234567921,anil@amul-supplier.com
33,14,Geeta Milk Suppliers,899-537 Patel Street,6234567922,geeta@amul-supplier.com
34,9,Jayant Milk Suppliers,181-758 Jawaharlal Street,6234567923,jayant@amul-supplier.com
35,11,Kirti Milk Suppliers,778-665 Gandhi Street,6234567924,kirti@amul-supplier.com
36,6,Rahul Milk Suppliers,876-372 Patel Street,6234567925,rahul@amul-supplier.com
37,13,Arti Milk Suppliers,439-900 Jawaharlal Street,6234567926,arti@amul-supplier.com
38,17,Mayank Milk Suppliers,877-154 Ambedkar Street,6234567927,mayank@amul-supplier.com
39,5,Puja Milk Suppliers,894-485 Jawaharlal Street,6234567928,puja@amul-supplier.com
40,10,Sumit Milk Suppliers,469-171 Ambedkar Street,6234567929,sumit@amul-supplier.com
