Distributor ID,Location ID,Distributor Name,Distributor Address,Distributor Phone Number,Distributor Email
1,1,Shri Ram Milk Distributor,"52-28 Vidhana Soudha, MG Road",9128332769,shriram@distributor.com
2,2,Ganesh Dairy Distributor,"33-81 Jayanagar, JP Nagar",9128332770,ganesh@distributor.com
3,3,Jai Mata Di Milk Distributor,"76-68 Koramangala, Ejipura",9128332771,jaimatadi@distributor.com
4,4,Surya Milk Distributor,"25-17 Vidhana Soudha, MG Road",9128332772,surya@distributor.com
5,5,Patel Dairy Distributor,"27-97 Bellandur, Marathahalli",9128332773,patel@distributor.com
6,6,Ganga Milk Distributor,"76-89 East Rohtas Nagar, Maujpur",9128332774,ganga@distributor.com
7,7,Jagdamba Dairy Distributor,"84-34 Dilshad Garden, G.T.B. Enclave",9128332775,jagdamba@distributor.com
8,8,Shree Krishna Milk Distributor,"82-56 Jhilmil Colony, Shahdara",9128332776,shreekrishna@distributor.com
9,9,Ambe Milk Distributor,"40-42 Kailash Nagar, Krishna Nagar",9128332777,ambe@distributor.com
10,10,Rameshwar Dairy Distributor,"64-84 Laxmi Nagar, Nirman Vihar",9128332778,rameshwar@distributor.com
11,11,Shri Hari Milk Distributor,"78-0 Navrangpura, Gujarat University",9128332779,shrihari@distributor.com
12,12,Radhey Shyam Dairy Distributor,"67-15 Paldi, Usmanpura",9128332780,radheyshyam@distributor.com
13,13,Kailash Dairy Distributor,"36-65 Sector 28, Sector 29",9128332781,kailash@distributor.com
14,14,Shiva Milk Distributor,"7-9 Kalupur, Gheekanta",9128332782,shiva@distributor.com
15,15,Maa Vaishno Milk Distributor,"47-50 Ambawadi, Ellisbridge",9128332783,maavaishno@distributor.com
16,16,Kedar Milk Distributor,"22-97 Tollygunge, Lake Gardens",9128332784,kedar@distributor.com
17,17,Ambica Dairy Distributor,"25-85 Belgharia, Agarpara",9128332785,ambica@distributor.com
18,18,Chintamani Milk Distributor,"66-88 Baguiati, Dum Dum Park",9128332786,chintamani@distributor.com
19,19,Narmada Dairy Distributor,"63-90 Kalighat, Tollygunge Circular Road",9128332787,narmada@distributor.com
20,20,Shakti Milk Distributor,"31-55 Lake Gardens, Selimpur",9128332788,shakti@distributor.com
